selector,rule,radius,delta_phi_energy,delta_phi_full,n_units,qc_pass,claim_status
dense_qc_stable_ref30,low_tv_spectral_teacher,0.01,0.0,0.0,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.02,-5.600784381972018e-05,0.6928095200625052,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.03,-0.00016138898534155923,1.0980044907885511,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.05,-0.0005937996769790175,1.6081901355476802,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.08,-0.0020246018094292237,2.0765719819095456,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.12,-0.004357150560095964,2.4795397850264465,14,False,missing_units
dense_qc_stable_ref30,low_tv_spectral_teacher,0.15,-0.007253148852844125,2.699696666145708,14,False,missing_units
dense_qc_stable_ref30,low_tv_spectral_teacher,0.2,-0.012967667905665484,2.9815473231316436,14,False,missing_units
dense_qc_stable_ref30,low_tv_spectral_teacher,0.3,-0.024557446874318302,3.375257896030559,13,False,missing_units
dense_qc_stable_ref30,low_tv_spectral_teacher,0.45,-0.03969382390667125,3.7654218708657736,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.65,-0.05327485598471295,4.119416198035306,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.85,-0.06309000961620949,4.377756024908853,25,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,1.0,-0.07130124565019738,4.531997680611772,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,1.25,-0.08130429758660809,4.745047508087369,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,1.5,-0.08722719416166773,4.921372083967868,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,1.75,-0.09610600101591803,5.066581319525263,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,2.0,-0.10218830438116501,5.193976149787129,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,2.25,-0.10762525232789541,5.306274377669208,13,False,missing_units_and_qc_fail
dense_qc_stable_ref30,low_tv_spectral_teacher,2.5,-0.11256280570540593,5.406654527874897,13,False,missing_units_and_qc_fail
