eta,rule,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,delta_phi_energy_mean,delta_phi_energy_sd,delta_phi_energy_sem,ess_fraction_min,ess_fraction_mean,split_logZ_per_P_diff_max,weighted_ce_mean,weighted_error_mean,elapsed_s_mean,d_phi_energy_raw_dd_unit_mean,d_phi_energy_raw_dd_unit_sd,d_phi_energy_raw_dd_unit_sem,d_delta_phi_energy_dd_unit_mean,d_delta_phi_energy_dd_unit_sd,d_delta_phi_energy_dd_unit_sem,d_phi_energy_direct_dd_unit_mean,d_phi_energy_direct_dd_unit_sd,d_phi_energy_direct_dd_unit_sem,split_dlogZ_dr_per_P_diff_max,ce_replay_max_abs_diff_max,d_phi_energy_raw_dd,d_delta_phi_energy_dd
0.05,eta_0p05,0.01,30,-0.0005903433385684414,0.0004902516898646191,8.95073031312929e-05,0.005621436459428765,0.0010472061427798727,0.00019119280891950402,0.9932950655808154,0.998575627327318,2.4433404466360433e-06,0.0027341926757731643,3.170203669234746e-05,0.9985528548558553,-0.005468649914841448,0.0037186274169902747,0.0006789253730809144,-0.005468649914841463,0.0037186274169902786,0.0006789253730809149,-0.003246844268070879,0.0023390196252137474,0.0004270446037256162,0.0002248890087118401,0.0,-0.005468649914841463,-0.005468649914841441
0.05,eta_0p05,0.02,30,-0.000645029837716856,0.0005251105683652578,9.587163449267013e-05,0.00556674996028035,0.0010170964867970609,0.0001856955629926685,0.9524591349604539,0.9893912344942426,8.219726089212115e-06,0.0029871557689198054,8.888612270916542e-05,0.986000927289327,-0.008665862405278137,0.005227822055647944,0.0009544653555004688,-0.008665862405278116,0.005227822055647938,0.0009544653555004678,-0.008052983803362628,0.005175681637111097,0.000944945861037005,0.0007784549501720029,0.0,-0.008665862405278148,-0.008665862405278169
0.05,eta_0p05,0.03,30,-0.0007636605866740042,0.0005877271926976942,0.00010730381369990424,0.0054481192113232015,0.000961114533789639,0.00017547470350088218,0.8275784562842341,0.9482462212372753,2.051456915241921e-05,0.003505290616202304,0.00015658216827683406,1.220438838005066,-0.017269374058016266,0.008119072399175508,0.001482333033015338,-0.01726937405801623,0.008119072399175498,0.0014823330330153363,-0.016460054504643475,0.008296476615094108,0.001514722463300383,0.0012540077018309693,0.0,-0.01726937405801627,-0.017269374058016207
0.05,eta_0p05,0.04,30,-0.0009904173188771813,0.0006747348386521131,0.00012318916382145697,0.005221362479120025,0.0008777478546912784,0.00016025409993872665,0.5922488581573878,0.8259394787709751,2.690783868947471e-05,0.004407809698252285,0.00030323452594908164,1.7643661816914877,-0.03081578630985234,0.01101082327135708,0.0020102920941417004,-0.03081578630985234,0.011010823271357084,0.0020102920941417004,-0.029878614210435438,0.010908027287176363,0.0019915242010227923,0.002425796367248816,0.0,-0.030815786309852336,-0.03081578630985235
0.05,eta_0p05,0.05,30,-0.001379976312871051,0.0007846796012747855,0.00014326223934411984,0.0048318034851261545,0.0007653333182245638,0.00013973010746729105,0.5206504176270973,0.6938759729950139,5.316066362286966e-05,0.005789388360573366,0.0005938631202091963,2.587792253494263,-0.048059814781069625,0.013041720303482716,0.002381081466296868,-0.04805981478106962,0.013041720303482699,0.002381081466296865,-0.04789103822182801,0.013215865262578433,0.0024128758404210475,0.004789271914544233,0.0,-0.048059814781069625,-0.04805981478106963
0.05,eta_0p05,0.06,30,-0.0019516136144985736,0.0009046176602930028,0.00016515983282000765,0.004260166183498632,0.0006373402533535823,0.0001163618778559382,0.5244793991896228,0.8553620664813192,8.977760235399283e-05,0.007579185707968812,0.001064433810894133,3.572284531593323,-0.06759481422812977,0.013756714519203399,0.002511620953108845,-0.06759481422812978,0.013756714519203399,0.0025116209531088458,-0.06719876116481306,0.014247534667708128,0.0026012320421135377,0.0072156565612786,0.0,-0.06759481422812977,-0.06759481422812977
0.05,eta_0p05,0.07,30,-0.002731872597433647,0.0010202089269623947,0.0001862638142218147,0.0034799072005635588,0.0005055661389141216,9.230332619801825e-05,0.5266387999134144,0.7546239473050865,0.00016435622174507128,0.009795991139399308,0.0017695592995601785,4.938853971163431,-0.08729488891242189,0.013702696041803466,0.0025017585735775034,-0.08729488891242188,0.013702696041803467,0.0025017585735775034,-0.0873808286324708,0.014364910328852436,0.0026226618078838103,0.012702288097780134,0.0,-0.0872948889124219,-0.08729488891242185
0.05,eta_0p05,0.08,30,-0.0036975113927470112,0.0011374844855055065,0.00020767530384117468,0.0025142684052501946,0.0004036981735816225,7.37048653647636e-05,0.5348610675569035,0.8198479332750618,0.000226506784295875,0.01239265684578903,0.00266052357619899,6.111913140614828,-0.1071708221958396,0.01501027601466178,0.002740488922536334,-0.10717082219583958,0.015010276014661778,0.0027404889225363335,-0.10660995999674583,0.014782595213832034,0.00269892028569457,0.017121047646634042,0.0,-0.10717082219583957,-0.10717082219583958
0.05,eta_0p05,0.09,30,-0.0048752890413504375,0.0012525532067965254,0.00022868388194596345,0.0013364907566467683,0.000249585530602853,4.5567875046026184e-05,0.5414228603076627,0.8181622248223974,0.00038094219446730456,0.01540642989098954,0.003808050947946852,7.590650256474813,-0.12571342026250967,0.020184908679081116,0.0036852432682381777,-0.1257134202625097,0.02018490867908112,0.0036852432682381777,-0.1255441844581168,0.015680041192919852,0.0028627707546574725,0.0191143883669774,0.0,-0.1257134202625097,-0.1257134202625097
0.05,eta_0p05,0.1,30,-0.006211779797997206,0.0014233628208412462,0.00025986930816297835,0.0,0.0,0.0,0.5101173984877546,0.7868992443184548,0.000664214551358723,0.01875358681647636,0.005174691188414993,8.971856490770977,-0.14284521686909504,0.02485437461058196,0.004537767208966473,-0.14284521686909502,0.02485437461058195,0.0045377672089664724,-0.14286644995644984,0.017327825189258315,0.003163613576221001,0.02737998266076743,0.0,-0.14284521686909502,-0.14284521686909502
0.05,eta_0p05,0.11,30,-0.007732193378732337,0.0015978529615767942,0.0002917267035440151,-0.001520413580735132,0.00037212123859842617,6.793973216904004e-05,0.5376347172513697,0.8188830616999262,0.0016923189684660605,0.023023699240411484,0.007026367396295314,10.142717258135479,-0.15821683001810183,0.022925559558691598,0.004185615371241191,-0.1582168300181018,0.0229255595586916,0.004185615371241191,-0.16201318210187726,0.02140816297393477,0.0039085779251903175,0.04889896272228275,0.0,-0.15821683001810183,-0.15821683001810183
0.05,eta_0p05,0.12,30,-0.009376116398359242,0.00163004711975637,0.00029760452576229625,-0.0031643366003620346,0.0004585111911738318,8.371230742482376e-05,0.5209849713125573,0.791968351205061,0.001954189383499572,0.026809078035495724,0.008677819031900503,11.463623476028442,-0.16618648951117174,0.03219138163732946,0.0058773152933409775,-0.16618648951117174,0.03219138163732946,0.0058773152933409775,-0.17405478736181246,0.018537223670695168,0.003384418519319487,0.029154015341622486,0.0,-0.16618648951117165,-0.1661864895111717
0.05,eta_0p05,0.13,30,-0.011055923168955772,0.0018416060079903885,0.00033622971753779167,-0.004844143370958567,0.000662217742017964,0.00012090386509445849,0.6336204334739424,0.8348317186196278,0.0014712067764760823,0.030760772449107205,0.010391825508575444,12.756476346651713,-0.18079145928049362,0.03668839558912297,0.006698353954278563,-0.18079145928049362,0.03668839558912298,0.006698353954278563,-0.18398645681902345,0.016189185737347844,0.002955727405328773,0.03606155950457811,0.0,-0.18079145928049356,-0.18079145928049356
0.05,eta_0p05,0.14,30,-0.012991945583969116,0.0019205623216284253,0.0003506451022167935,-0.006780165785971909,0.0008428465530020595,0.00015388202319823385,0.5833458785765749,0.8456658717942606,0.0023385065117072054,0.03587571953441129,0.012603931918773011,13.910809008280436,-0.20570020766016764,0.045767600243154995,0.008355982352018305,-0.20570020766016764,0.04576760024315501,0.008355982352018305,-0.19518219781654852,0.015718509227040527,0.002869794024667731,0.034473626002906696,0.0,-0.20570020766016783,-0.20570020766016758
0.05,eta_0p05,0.15,30,-0.015169927322159124,0.0021910105118051345,0.00040002196034887033,-0.008958147524161917,0.0010831304948398337,0.00019775166824850316,0.5731031856115507,0.7960432245700791,0.0025341383754280233,0.04153364554272879,0.015152448513671467,15.07205962340037,-0.21067087446263522,0.05576970683853102,0.010182108820304521,-0.2106708744626352,0.05576970683853104,0.010182108820304526,-0.20512962132565396,0.020518403166450254,0.0037461307527500765,0.0460079795780786,0.0,-0.2106708744626351,-0.21067087446263533
0.05,eta_0p05,0.16,30,-0.017205363073221815,0.002016427115367041,0.00036814753888386677,-0.010993583275224612,0.000971261644383813,0.0001773273039561918,0.5481482347519032,0.8220226998246293,0.002472772836146634,0.04638353419343947,0.017364959379807764,16.265347162882488,-0.21520029063651097,0.0658913216876127,0.01203005441071162,-0.21520029063651094,0.06589132168761275,0.01203005441071162,-0.20971744773680998,0.01617416768604967,0.002952985496840181,0.031701856853152965,0.0,-0.2152002906365108,-0.21520029063651108
0.05,eta_0p05,0.17,30,-0.019473933134889345,0.0022185975028877606,0.0004050586327854198,-0.013262153336892141,0.0011288152967870325,0.00020609253376904885,0.5261559330333375,0.7796510011414901,0.0034978399790442324,0.05254307530371896,0.020010846602696388,16.625286984443665,-0.21672819111633812,0.05667003447049795,0.01034648540469569,-0.21672819111633815,0.056670034470498,0.010346485404695694,-0.2160978662542879,0.01715697167227199,0.0031324201344601664,0.05545316071574221,0.0,-0.21672819111633823,-0.216728191116338
0.05,eta_0p05,0.18,30,-0.021539926895548577,0.0025156093033901184,0.0004592853204455417,-0.015328147097551372,0.0014979279545378013,0.0002734829767393088,0.6073526929037111,0.8363819164894698,0.003912377106503537,0.05856836309498063,0.022673313748212028,17.79834454059601,-0.2170746856474294,0.07314032981286057,0.013353536167290446,-0.21707468564742938,0.07314032981286057,0.01335353616729045,-0.2187190636215137,0.01799126857606143,0.0032847412124142315,0.04559804332417897,0.0,-0.2170746856474295,-0.2170746856474295
0.05,eta_0p05,0.19,30,-0.023815426847837932,0.0025548015223430523,0.0004664408079119427,-0.01760364704984073,0.0015879192284821873,0.0002899130603119648,0.5213100859060915,0.7892656349958581,0.0037681567654147177,0.06492143883976935,0.025199952941020915,18.76299823919932,-0.22428085100551115,0.0745835472929362,0.013617030423698172,-0.2242808510055112,0.07458354729293622,0.013617030423698176,-0.22163800000706085,0.016479992538307182,0.003008821220249222,0.057580612622554636,0.0,-0.2242808510055112,-0.2242808510055112
0.05,eta_0p05,0.2,30,-0.026025543915658807,0.0027660757335102766,0.0005050140250037424,-0.0198137641176616,0.0018836202657355942,0.00034390043643908665,0.5730980434736055,0.8087703875046882,0.003933315520066343,0.07058099285003415,0.027483652303980543,19.950485475858052,-0.1839130262534426,0.10082436189995096,0.018407925786222523,-0.18391302625344258,0.10082436189995092,0.01840792578622252,-0.22015309100284003,0.017756236537507228,0.003241830429330045,0.055665720171476495,0.0,-0.18391302625344252,-0.1839130262534423
